Competicao;Mandante;Visitante;Resultado;Gestao;Gols_Pro;Gols_Contra;Status_Jogo
Campeonato Brasileiro Série A;Flamengo;São Paulo;2:1;Julio Casares (2021-Presente);1;2;Derrota
Campeonato Brasileiro Série A;Atlético-GO;São Paulo;0:3;Julio Casares (2021-Presente);3;0;Vitória
Copa Libertadores;Barcelona SC;São Paulo;0:2;Julio Casares (2021-Presente);2;0;Vitória
Campeonato Brasileiro Série A;São Paulo;Palmeiras;0:0;Julio Casares (2021-Presente);0;0;Empate
Copa do Brasil;Águia de Marabá;São Paulo;1:3;Julio Casares (2021-Presente);3;1;Vitória
Campeonato Brasileiro Série A;Vitória;São Paulo;1:3;Julio Casares (2021-Presente);3;1;Vitória
Copa Libertadores;Cobresal;São Paulo;1:3;Julio Casares (2021-Presente);3;1;Vitória
Campeonato Brasileiro Série A;São Paulo;Fluminense;2:1;Julio Casares (2021-Presente);2;1;Vitória
Copa Libertadores;São Paulo;Barcelona SC;0:0;Julio Casares (2021-Presente);0;0;Empate
Copa do Brasil;São Paulo;Águia de Marabá;2:0;Julio Casares (2021-Presente);2;0;Vitória
Copa Libertadores;São Paulo;CA Talleres;2:0;Julio Casares (2021-Presente);2;0;Vitória
Campeonato Brasileiro Série A;São Paulo;Cruzeiro;2:0;Julio Casares (2021-Presente);2;0;Vitória
Campeonato Brasileiro Série A;Internacional;São Paulo;0:0;Julio Casares (2021-Presente);0;0;Empate
Campeonato Brasileiro Série A;Corinthians;São Paulo;2:2;Julio Casares (2021-Presente);2;2;Empate
Campeonato Brasileiro Série A;São Paulo;Cuiabá;0:1;Julio Casares (2021-Presente);0;1;Derrota
Campeonato Brasileiro Série A;Vasco da Gama;São Paulo;4:1;Julio Casares (2021-Presente);1;4;Derrota
Campeonato Brasileiro Série A;São Paulo;Criciúma;2:1;Julio Casares (2021-Presente);2;1;Vitória
Campeonato Brasileiro Série A;São Paulo;Bahia;3:1;Julio Casares (2021-Presente);3;1;Vitória
